timestamp,speed,category
0,326,1
1,335,1
2,330,1
3,341,1
4,341,1
5,342,1
6,346,1
7,343,1
8,348,1
9,347,1
10,341,1
11,339,1
12,334,1
13,328,1
14,322,1
15,324,1
16,326,1
17,325,1
18,316,1
19,307,1
20,305,1
21,300,1
22,303,1
23,303,1
24,307,1
25,325,1
26,335,1
27,337,1
28,336,1
29,335,1
30,331,1
31,330,1
32,350,1
33,349,1
34,335,1
35,333,1
36,338,1
37,339,1
38,331,1
39,338,1
40,330,1
41,336,1
42,354,1
43,357,1
44,361,1
45,358,1
46,350,1
47,347,1
48,340,1
49,340,1
50,336,1
51,335,1
52,347,1
53,349,1
54,347,1
55,344,1
56,343,1
57,338,1
58,327,1
59,322,1
60,318,1
61,310,1
62,307,1
63,337,1
64,348,1
65,355,1
66,352,1
67,384,1
68,376,1
69,374,1
70,376,1
71,384,1
72,384,1
73,393,1
74,401,1
75,399,1
76,404,1
77,414,1
78,429,1
79,424,1
80,423,1
81,418,1
82,416,1
83,421,1
84,429,1
85,428,1
86,426,1
87,424,1
88,417,1
89,410,1
90,406,1
91,408,1
92,406,1
93,401,1
94,398,1
95,392,1
96,401,1
97,404,1
98,392,1
99,382,1
100,375,1
101,364,1
102,354,1
103,352,1
104,350,1
105,351,1
106,365,1
107,357,1
108,362,1
109,361,1
110,360,1
111,358,1
112,355,1
113,351,1
114,346,1
115,345,1
116,341,1
117,346,1
118,355,1
119,369,1
120,360,1
121,360,1
122,353,1
123,349,1
124,352,1
125,350,1
126,350,1
127,338,1
128,343,1
129,345,1
130,345,1
131,340,1
132,327,1
133,329,1
134,329,1
135,331,1
136,332,1
137,340,1
138,343,1
139,345,1
140,342,1
141,346,1
142,396,1
143,459,1
144,440,1
145,447,1
146,500,2
147,511,2
148,526,2
149,529,2
150,524,2
151,509,2
152,510,2
153,521,2
154,527,2
155,539,2
156,544,2
157,563,2
158,602,2
159,606,2
160,608,2
161,596,2
162,567,2
163,580,2
164,583,2
165,593,2
166,608,2
167,615,2
168,608,2
169,612,2
170,610,2
171,618,2
172,613,2
173,611,2
